"코로나키트"
"국내 업체 코로나19 진단키트, 미국 FDA 사전승인 획득"
"""수출용 코로나19 진단키트 이름 '독도'로"" 靑 청원 20만 동의"
"미국서 '5분만에 감염 확인' 코로나19 진단키트 개발…FDA 승인"
"""국산 3개 업체 코로나19 진단키트, 美 FDA 사전승인 획득"""
"급박한 우크라이나…대통령 특별기로 韓 진단키트 공수"
"“작동하지 않아요” 중국산 코로나19 진단키트 산 국가들 아우성"
"젠큐릭스, 코로나19 진단 키트 수출허가 획득"
"“수출용 코로나19 진단키트 이름을 ‘독도’로…” 靑 국민청원 18만 넘어"
"스페인, '정확도 형편없는' 중국산 진단키트 사용 중단"
"리투아니아도 ""韓 배우고 싶다""...117국 ""진단키트 요청"""
"""한국産 진단키트 주세요"" 117개국 韓 방역물품 공급 요청"
"급박한 우크라이나…대통령 특별기로 韓 진단키트 공수"
"미국 코로나19 환자 10만명 돌파…1만명 넘은지 8일만 '폭증세'(종합)"
"나토 수송기, 방호복과 진단키트 싣고 루마니아로"
"“작동하지 않아요” 중국산 코로나19 진단키트 산 국가들 아우성"
"""수출용 코로나19 진단키트 이름을 독도로"" 靑 청원 20만 돌파"
"젠큐릭스, 코로나19 진단 키트 수출허가 획득"
"말레이시아 정부 '코로나 봉쇄'에 전 세계 콘돔 수급 차질"
"미국 시장 10명 중 9명 ""코로나19 진단키트·마스크 부족"""
"미국 코로나19 환자 10만명 넘어…8일만에 10배 늘어"
"코로나19로 일손 바빠진 바이오업계는 '인재 수혈중'"
"솔젠트, 우크라이나에 코로나19 진단키트 10만명 분량 수출"
"코로나19 '혈청검사 진단키트' 나온다"
"[코로나19] 위기에도 훨훨 나는 진단키트기업… 해외수출 봇물"
"진매트릭스, 美 FDA에 코로나19 진단키트 긴급사용승인 신청"
"말레이시아 코로나19 확진 2천320명…한국인 2명 조깅하다 체포"
"미국, 코로나19 환자수 중국 제치고 세계 1위…8만명 훌쩍 넘어(종합)"
"[글로벌 돋보기] 스페인 “중국산 검사 키트 ‘오류’ 가치 없다, 반송”…“..."
"WHO에서도 한국의 코로나19 대응 경험 알려(종합)"
"폭넓은 검사에 신속 격리…WHO ""韓, 코로나19 모든 전략 이미 잘 구현하고 있..."
"미국 코로나19 환자 9만5천명으로 늘어…곧 10만명 넘어설듯"
"바이오株 ‘코로나 수혜’ 주의보"
"코로나19로 '입항거부' 중남미 표류 크루즈선서 승객 4명 사망"
"""6시간 만에 결과""…국산 검사키트 '인기'"
"WHO ""韓, 코로나19 모든 전략 이미 잘 구현하고 있어"""
"필리핀 하루만에 코로나19 확진 272명 증가…사망자도 14명 늘어"
"'쿠팡맨'의 죽음과 코로나19<U+00A0>대책"
"인니 코로나19 사망 102명…자카르타 비상사태 4월 19일까지(종합)"
"FT “북한 지난 1월 590명 코로나19 검사했는데 양성 0”"
"코로나 항모"
"“국산 진단키트 브랜드 ‘K-바이오’ ‘독도’ 충분히 가능”"
"인천공항 다시 찾은 나토 수송기 '방호복과 진단키트 싣고'"
"진매트릭스, 코로나19 진단키트 FDA 긴급사용승인 신청"
"휴벡셀, 벨기에 코로나19 진단키트 수출"
"미국 코로나19 확진자 10만명 넘어, 8일만에 9만명 증가"
"코로나 국제 협력 견인한 文대통령…'3·1절 구상' 현실로"
"미코바이오메드 분자진단키트 식약처 수출 허가, 유럽과 남미 계약체결"
"美 8일만에 확진 1만→10만···트럼프, 이 와중에 '코로나 갑질'"
"전국 주요 청소년상담센터, 청소년 코로나19 예방 지원나서"
"미국 코로나19 10만명 돌파, 확진자 폭증"
"코로나 진단키트 수출 어디로…“미국ㆍUAEㆍ인도네시아 먼저”"
"스페인 ""중국산 코로나19 검사키트 엉터리...9000개 반품"""
"[오늘 이 뉴스] ""독도키트로 불러주세요."""
"캔서롭, 코로나 진단키트 美 FDA 승인 신청"
"117개국 “韓 진단 키트 필요해”…외교부 “외교 고려해 우선순위 판단”"
"정부, 코로나 검사대상 축소 추진 의도는?"
"미국 코로나19 환자 10만명 돌파…1만명서 8일만에 10배로 폭증(종합2보)"
"스위스, 북한에 코로나 방역품 지원 계획…유엔, 제재면제 승인"
"[코로나19] 美 확진자 10만명 돌파…사망자 1571명"
"미국 코로나19 환자 10만 명 넘어…1만 명서 8일 만에 10배로 폭증"
"미코, 자회사 코로나19 진단키트 수출허가 소식에 上"
"[종목 현미경] 코로나19 수혜주 씨젠…신고가 이어갈까"
"與 코로나변수 총선 악재? 호재?"
"미 코로나19 '세계 최다', 뉴욕이 결정적…사흘에 두배꼴로 폭증"
"코로나19 계기로 남북 협력 재개?…""북에 진단키트 보내자"""
"코로나19 초비상인데…트럼프, 민주당 주지사들과 '감정싸움'"
"진단키트 관련주 강세…씨젠, 코스닥 시총 3위로 ‘껑충’"
"구광모 LG 회장 ""코로나 이후 성장 준비""…다음주 사업점검"
"LG 구광모 ""어려움에도 기회…코로나 이후 성장 준비"""
"코로나19 환자 폭증하는 미국…병상·물자·인력 확보 '전쟁'"
